MSZoning,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice_Log,GrLivArea_Log,LotArea_Log,MSZ_num,NbHd_num,ExtQ_num,BsQ_num,KiQ_num
RL,7,2007,2007,205.0,1726,1726,2,8,1,2007.0,3,786,12.650348126203179,7.453561871643373,9.150165648940114,3,2,4,3,4
RL,8,1918,1990,0.0,1360,1360,2,8,1,1918.0,2,795,12.367340793126296,8.043020885298283,10.143252204866574,3,1,3,1,3
RM,6,1912,1950,0.0,755,929,1,8,0,1978.5061638868744,0,0,11.55214617812351,7.709308333385869,8.616133139271142,2,1,2,1,2
RL,8,2004,2005,262.0,1713,1713,2,7,1,2004.0,3,856,12.524162674153336,7.44600149832412,9.16858043772795,3,3,3,3,4
RM,4,2003,2004,0.0,1121,1121,2,5,0,2003.0,2,440,11.84939770159144,7.02197642307216,9.05321861620397,2,1,2,2,2
RL,6,1977,1977,0.0,1196,1279,2,6,2,1980.0,2,473,12.052338545588132,7.153833801578843,9.22276289197474,3,1,2,1,2
RL,6,1924,1950,0.0,617,865,2,6,0,1924.0,1,398,11.626254150277232,7.177782416195197,8.85366542803745,3,1,2,1,2
RM,6,2004,2004,205.0,848,848,1,3,1,2004.0,2,420,11.911701584927597,6.742880635791903,8.39795910349254,2,2,3,2,3
RM,5,1947,1950,0.0,720,720,1,5,0,1948.0,1,240,11.608235644774552,7.157735484249907,8.160518247477505,2,1,2,1,2
RL,7,1990,1990,0.0,1424,1442,2,5,0,1990.0,2,500,12.103486056755072,7.273786317844895,9.380167531188448,3,2,2,2,2
RL,5,1962,1962,0.0,1140,1696,1,8,1,1962.0,1,349,11.876873892875459,7.4360278163518485,9.523178364309082,3,1,2,1,2
RL,4,1960,1960,0.0,1100,1100,1,6,1,1960.0,1,312,11.856515169360305,7.003065458786462,9.432923766431829,3,1,2,1,2
RL,7,1988,1989,128.0,1157,1180,2,7,1,1988.0,2,454,12.531772785169476,7.631431664576906,9.572480355345974,3,1,3,2,2
RL,6,1964,1964,260.0,1092,1092,1,6,0,1964.0,2,504,11.884489021402711,6.9957661563048505,9.017968479328726,3,1,2,2,2
RL,5,1925,1950,0.0,864,864,1,5,0,1978.5061638868744,0,0,11.49272275765271,6.761572768804055,8.631235907456897,3,1,2,1,2
RL,6,2009,2009,0.0,1212,1212,2,6,0,2009.0,2,460,12.133501952695338,7.10002716662926,9.251482315307358,3,1,2,2,3
FV,7,2009,2009,0.0,900,932,2,7,1,2009.0,2,644,12.439871229831715,7.524021415206125,9.064157861798101,3,2,2,2,3
RL,5,1995,1995,0.0,990,990,1,5,0,1996.0,2,576,11.957611286231675,6.897704943128636,9.515469358031684,3,2,2,2,2
RL,6,1977,1977,153.0,689,689,1,6,0,1977.0,1,299,11.993807212363148,7.238496840894365,9.296518068217235,3,2,2,2,2
RL,5,1957,1996,64.0,1070,1236,1,6,1,1957.0,1,447,11.80894766169701,7.119635638017636,9.211439767419483,3,1,2,1,3
RL,7,2004,2004,266.0,1436,1436,2,8,0,2004.0,2,484,12.254862809699606,7.269616749608169,9.041921720351219,3,2,3,2,3
RM,4,1925,1950,0.0,686,810,1,8,0,1940.0,1,210,11.580584113444043,7.191429330036379,9.200895913148184,2,1,2,1,2
RL,7,1939,2006,312.0,798,1137,1,8,2,1939.0,2,431,12.649154617209645,7.577633832602728,9.658864969544794,3,2,3,1,3
RL,7,2005,2006,16.0,1248,1248,2,5,0,2005.0,2,438,12.0271851854705,7.129297548929373,8.009695357742922,3,2,3,2,3
RL,7,2006,2006,0.0,1498,1498,2,5,0,2006.0,2,675,12.230277334226992,7.311886164077165,9.103868127465667,3,2,3,2,3
RL,6,2002,2002,0.0,1010,1010,2,8,1,2002.0,2,390,12.206072645530174,7.726212650507529,8.995660899074103,3,2,3,2,3
RL,6,1975,1975,0.0,713,811,2,6,1,1975.0,2,434,12.100156419938624,7.347299700743164,9.347926034928745,3,2,2,2,2
RL,4,1971,1971,0.0,864,864,1,4,0,1989.0,2,576,11.48246625748552,6.761572768804055,9.259130536145614,3,1,2,1,2
RL,10,2003,2003,922.0,2392,2392,2,8,1,2003.0,3,968,12.864240107194092,7.779885115070522,9.508368736482108,3,3,4,3,4
RM,5,1971,1971,142.0,630,630,2,6,0,1991.0,1,280,11.626254150277232,7.171656822768514,7.426549072397305,2,1,2,1,2
RL,7,1995,1995,290.0,1203,1214,2,9,1,1995.0,3,721,12.577636201962656,7.832014180505469,9.205327830152639,3,3,3,2,3
RM,6,1970,1970,127.0,483,483,1,5,0,1987.0,1,280,11.571194373094205,6.894670039433482,7.533158807455563,2,1,2,1,2
RL,5,1967,1967,0.0,912,912,1,5,1,1974.0,1,336,11.736069016284437,6.815639990074331,9.050288983827956,3,1,2,1,2
RL,7,2005,2006,16.0,1373,1555,2,7,1,2005.0,2,430,12.167851432709975,7.349230824613334,8.065265208897733,3,2,3,2,3
RL,6,1959,1959,220.0,1194,1194,1,6,0,1959.0,1,312,11.904967552746252,7.085064293952548,9.077951183930438,3,1,2,1,2
RL,8,1995,1996,506.0,1462,1490,2,9,1,1995.0,3,810,12.90669184092882,7.935229539816907,9.624963417869113,3,3,3,2,4
RM,6,1972,1972,297.0,483,483,1,5,1,1972.0,1,288,11.456355113481834,6.894670039433482,7.426549072397305,2,1,2,1,2
RL,5,1976,1976,0.0,894,894,1,5,0,1976.0,1,308,11.761346823468706,6.795705775173514,9.273315171137572,3,2,2,1,2
RL,6,2002,2002,103.68526170798899,860,860,2,8,2,2002.0,2,440,12.285345826424681,7.580699752224563,8.968396191198256,3,2,3,2,3
RM,6,1971,1971,604.0,483,483,1,5,0,1971.0,1,264,11.401993904262946,6.894670039433482,7.426549072397305,2,1,2,1,2
RL,7,2004,2004,98.0,1414,1414,2,6,0,2004.0,2,494,12.130810161029627,7.254177846456518,9.079434102128383,3,2,3,2,3
RL,7,1993,2003,0.0,996,1014,2,7,0,1993.0,2,457,12.178187442040638,7.463936604468925,9.154087430425385,3,1,3,2,3
RL,8,2007,2007,254.0,1694,1694,2,7,0,2007.0,3,818,12.669806661762314,7.434847875211999,9.395158808968725,3,3,4,3,3
RL,6,1945,1950,0.0,735,798,1,7,1,1949.0,1,220,11.635143097694478,7.304515946460155,9.075779878580487,3,1,2,1,2
FV,8,2008,2008,36.0,1566,1566,2,7,0,2008.0,2,750,12.478006361013815,7.356279876550748,9.104979856318357,3,2,3,2,3
RM,5,1945,1997,0.0,686,866,1,4,0,1978.5061638868744,0,0,11.612770799939945,6.763884908562435,8.263590432617319,2,1,2,1,3
RM,5,1900,1950,0.0,540,889,1,6,0,1940.0,1,352,11.27720313144916,7.272398392570047,8.517193191416238,2,1,2,1,2
RL,6,1980,1980,0.0,626,626,1,6,1,1980.0,1,288,11.695247021764184,7.104144092987527,9.283776690049365,3,1,2,2,2
RL,7,1994,2002,0.0,948,1222,2,8,2,1994.0,2,463,12.230765258120545,7.6544432264701125,9.091556835986216,3,1,3,2,3
RL,7,1988,1988,102.0,1845,1872,2,6,1,1988.0,2,604,12.394624752074764,7.534762657037537,9.249561085129464,3,2,2,2,2
RM,6,1910,1950,0.0,1020,908,2,9,0,1910.0,1,440,11.827736204810263,7.564238475170491,9.12063445889169,2,1,2,1,1
RL,6,1954,1954,0.0,1367,1375,1,5,1,1954.0,2,451,11.84939770159144,7.226209010100671,9.333442569110167,3,1,2,1,2
RL,7,2003,2003,101.0,840,840,2,8,0,2003.0,2,500,12.100712129872347,7.419380582918692,9.334061298965942,3,2,3,2,3
RL,6,1958,2006,472.0,1444,1444,2,7,2,1958.0,2,389,12.531772785169476,7.670428522190693,11.976659481202368,3,2,3,2,3
RL,3,1940,1966,0.0,728,1306,1,6,0,1978.5061638868744,0,0,11.245046019814627,7.174724309836376,8.584851839890053,3,1,2,1,1
RM,8,2006,2007,481.0,1573,1625,2,5,1,2006.0,2,538,12.367340793126296,7.393263094763838,8.465899897028686,2,2,3,2,3
RL,6,2004,2004,0.0,798,798,2,6,0,2004.0,2,520,12.061046873479915,7.402451520818244,9.031931152002144,3,1,3,2,3
RL,6,1964,1991,108.0,1302,1302,2,7,0,1964.0,1,309,11.970350312009105,7.171656822768514,9.143131622282732,3,1,2,2,3
RL,5,1957,1957,0.0,1314,1314,1,5,0,1957.0,1,294,11.884489021402711,7.1808311990445555,9.035986984831405,3,1,2,1,2
RL,7,1999,1999,302.0,975,1005,2,8,1,1999.0,2,429,12.345834587905333,7.736743682453495,9.075436609511382,3,2,3,2,3
FV,6,2003,2003,0.0,864,864,2,7,0,2003.0,2,673,12.24288661865289,7.454719949364001,9.081483749851179,3,2,3,2,3
RL,7,2006,2006,180.0,1604,1604,2,8,1,2006.0,2,660,12.301382825334498,7.38025578842646,9.084096645401932,3,2,3,2,3
RL,7,2001,2001,172.0,963,963,2,7,1,2001.0,2,564,12.352335152508426,7.491087593534876,9.428270356237505,3,2,3,2,3
RM,5,1956,1956,0.0,0,882,1,4,0,1956.0,1,308,11.48246625748552,6.782192056006791,9.44951474036292,2,1,2,1,2
RL,6,1962,1962,399.0,1362,1382,1,6,1,1991.0,2,884,12.078239274020289,7.231287004327616,9.867653099526912,3,1,2,1,2
RL,8,2007,2007,270.0,1482,1482,2,10,1,2007.0,3,868,12.528156144699286,7.853216388156072,9.168267595554275,3,2,3,3,4
RL,6,1977,1995,46.0,506,1212,1,6,1,1978.0,2,492,11.925035115797062,7.10002716662926,9.044403844431551,3,1,2,2,2
RM,5,1929,2001,0.0,926,926,1,6,0,1974.0,2,484,11.77528972943772,7.182352111885263,8.612503371220562,2,1,2,1,2
RM,5,1925,2004,0.0,680,764,1,4,0,1965.0,2,504,11.198214720130528,6.638567789166521,8.562548893137034,2,1,2,1,2
RL,6,1981,1981,210.0,1422,1422,2,7,1,1981.0,2,576,12.075394321888057,7.259819610363186,9.400133943608838,3,2,2,2,3
RL,6,1997,1997,0.0,802,802,2,8,1,1997.0,2,413,12.128111104060462,7.32052696227274,9.324293862052029,3,2,2,2,2
RL,5,1939,1997,0.0,720,1052,2,8,1,1939.0,1,240,12.097930486910471,7.692569648067906,9.035986984831405,3,1,2,1,3
RM,5,1940,1955,0.0,740,778,1,4,1,1966.0,1,924,11.699405031912846,6.656726524178391,8.83927669058535,2,1,2,1,2
RL,6,1976,1976,174.0,1143,1113,1,6,1,1987.0,1,504,11.904967552746252,7.014814351275545,8.976767625171433,3,1,2,1,2
FV,8,2006,2006,0.0,1095,1095,2,8,1,2006.0,3,1053,12.491251587763836,7.569927655242652,9.280612424961515,3,2,3,2,3
RL,7,1954,2005,0.0,1385,1363,1,5,2,1954.0,2,439,12.394624752074764,7.217443431696533,10.573980042531268,3,2,2,2,2
RL,8,1999,2007,348.0,1152,1164,2,9,1,1999.0,3,671,12.577636201962656,7.727535110475448,9.372799299673886,3,3,3,2,3
RL,6,1958,1988,183.0,1240,1632,2,6,1,1958.0,1,338,11.842229212112828,7.397561535524052,9.169518377455928,3,1,2,1,2
RL,5,1982,1982,0.0,816,816,1,5,0,1982.0,1,264,11.732060994886899,6.704414354964107,9.025696119812583,3,1,2,1,2
RL,7,1925,2007,0.0,952,952,2,5,0,1978.0,2,672,12.230765258120545,7.344719054149673,8.890685920281129,3,1,3,1,4
RL,7,2003,2003,0.0,1560,1560,2,7,0,2003.0,2,573,12.211060187041213,7.352441100243583,9.126523885883072,3,1,3,3,3
RL,4,1951,1951,0.0,864,864,1,4,0,1951.0,2,400,11.856515169360305,6.761572768804055,9.859431166339208,3,2,2,1,2
RL,9,2006,2007,315.0,2121,2121,2,8,1,2007.0,3,732,12.936751613811438,7.659642954564682,9.578449693540579,3,3,4,3,4
RL,7,1977,1977,299.0,1160,1156,2,8,1,1977.0,2,505,12.165250651009918,7.611842399580417,9.210840247017833,3,2,2,2,2
RL,7,1989,1989,340.0,807,1175,2,7,1,1989.0,2,575,12.339291489316397,7.591861714889934,9.331406899955626,3,1,3,2,3
FV,6,2006,2006,68.0,1262,1262,2,5,0,2006.0,2,572,12.128111104060462,7.140453043101158,8.881836305004146,3,2,3,2,3
RL,7,2007,2008,166.0,1314,1314,2,6,1,2008.0,2,626,12.24288661865289,7.1808311990445555,8.529714471969909,3,3,3,2,3
RL,8,2008,2009,72.0,1468,1468,2,6,1,2008.0,3,898,12.407379502235209,7.291656209174461,9.17076759685636,3,2,3,2,3
RL,6,1992,1992,0.0,1575,1575,2,5,0,1992.0,2,529,12.096257779522967,7.362010551259734,8.988695696785708,3,1,3,2,3
FV,7,2006,2007,0.0,625,625,2,5,0,2006.0,2,528,12.011880916165731,7.1308988302963465,8.35490952835879,3,2,3,2,3
RL,6,1962,1981,0.0,912,1085,1,7,1,1962.0,2,440,11.976659481202368,7.458186157340487,9.188708071849069,3,1,2,1,3
RL,4,1971,1971,0.0,858,858,1,5,0,1978.5061638868744,0,0,11.385092093460344,6.754604099487962,9.002701007197938,3,1,2,1,2
RL,5,1967,1967,31.0,882,900,1,5,0,1970.0,1,280,11.711776323715394,6.802394763324311,9.19207456316929,3,1,2,1,2
RL,6,1915,2003,0.0,698,698,1,7,0,2003.0,1,384,11.941944326032129,7.241366283322318,9.074520648833648,3,1,2,1,2
RL,8,2006,2006,0.0,1079,1079,2,8,1,2006.0,2,685,12.359780370124389,7.5595594960077,9.655731072956666,3,2,3,2,3
RL,5,1912,2000,0.0,780,936,2,9,0,1978.5061638868744,0,0,11.819674600139235,7.447751280047908,8.645938147306799,3,1,2,1,1
RL,5,1949,2008,0.0,768,1148,1,8,1,1949.0,1,281,11.782952602183288,7.447751280047908,9.34215779659637,3,1,2,1,2
RL,7,1977,1994,34.0,795,1468,2,9,1,1977.0,2,539,12.367340793126296,7.724446645633537,9.720705889909716,3,2,2,1,3
RL,6,1953,1953,238.0,1416,1644,1,7,2,1953.0,2,418,12.025749091398891,7.404887575616125,9.169518377455928,3,1,2,1,2
RL,6,1984,1984,0.0,1003,1003,1,6,0,1984.0,2,588,11.867097278690842,6.910750787961936,8.979290649090876,3,1,2,1,2
RM,5,1950,1950,0.0,910,910,1,6,0,1950.0,1,282,11.931635799828413,7.351158226430694,9.52588077255636,2,1,2,1,2
FV,7,1997,1998,1600.0,975,975,2,7,1,1997.0,2,576,12.384218830913648,7.575584651557793,8.90910013492555,3,2,3,2,3
RL,6,1968,1968,365.0,702,1041,1,7,1,1968.0,2,539,12.072541252905651,7.463363045520021,9.367344120785848,3,2,3,1,2
RL,6,1950,2004,0.0,1092,1152,1,6,1,1950.0,1,300,11.973509872299472,7.049254841255837,9.546812608597396,3,2,2,1,3
RL,5,1953,1953,56.0,1165,1336,1,5,2,1953.0,1,375,11.964001084330445,7.197435354096591,9.66459564425378,3,2,2,1,2
RL,8,1998,1999,0.0,1028,1210,2,9,1,1998.0,2,683,12.495003937382387,7.804659297056102,9.69437017295501,3,2,3,2,3
RL,7,2001,2002,150.0,1541,1541,2,6,1,2001.0,3,843,12.230765258120545,7.340186835320115,9.525443040003957,3,2,3,2,3
RL,5,1972,1972,0.0,894,894,1,5,0,1975.0,2,552,11.917723684090689,6.795705775173514,9.190137664658664,3,2,2,1,2
RM,7,1880,2002,0.0,1470,1675,3,10,1,2003.0,3,870,12.594730635321957,8.158516244806831,9.8193447844237,2,1,2,1,3
RL,8,2004,2005,246.0,2000,2000,2,8,0,2004.0,3,888,12.631013530138995,7.600902459542082,9.248214024404264,3,2,3,2,3
RL,7,1990,1991,246.0,700,1122,2,8,1,1990.0,3,746,12.323855681186558,7.715569534520208,9.508517181520606,3,1,3,2,3
RM,6,1920,1950,0.0,319,1035,1,6,0,1978.5061638868744,0,0,11.401993904262946,7.2485040723706105,8.977146484808472,2,1,2,1,1
RL,4,1940,1950,0.0,861,861,1,4,0,1961.0,2,539,11.320553572322773,6.7580945044277305,9.420763358881013,3,1,2,1,2
RL,9,2003,2004,0.0,1896,1944,2,8,3,2003.0,3,708,12.793859310432293,7.572502985020384,9.423675982299306,3,3,3,3,4
RL,6,1993,1994,112.0,697,697,2,6,1,1993.0,2,420,12.017330520933296,7.313886831633462,8.947025655972697,3,2,2,2,3
RL,6,1948,2002,0.0,972,972,1,5,1,1948.0,1,240,11.790557201568507,6.879355804460439,8.987196820661973,3,1,2,1,2
RM,5,1939,1950,0.0,793,793,1,5,1,1939.0,2,410,11.694413341015606,7.0192966537150445,8.961879012677683,2,1,2,2,2
RL,7,1965,1965,0.0,2136,2036,2,8,2,1965.0,2,513,12.834681304952548,7.618742377670413,12.279532193216468,3,2,2,2,2
RM,7,1925,1990,0.0,728,832,1,6,1,1925.0,2,546,12.089538829274222,7.403061091090091,9.169518377455928,2,1,2,1,4
RL,7,2004,2005,0.0,716,716,2,6,1,2004.0,2,432,12.146853285870202,7.266827347520591,8.961237781491876,3,2,3,2,3
RL,7,1980,1980,278.0,845,1153,2,10,1,1983.0,2,484,12.468436909997665,7.763446388727362,9.473089177882752,3,2,3,2,4
FV,8,2006,2006,0.0,1088,1088,2,8,1,2006.0,3,1025,12.506177237980511,7.580189417944541,9.104979856318357,3,2,3,2,3
RL,7,1993,1993,256.0,1347,1372,2,9,1,1993.0,3,656,12.468436909997665,7.880804344674901,9.20029003612268,3,3,3,2,3
RL,7,1980,1980,225.0,1372,1472,2,6,2,1980.0,2,588,12.141534124392603,7.294377299288821,9.55499334068759,3,2,2,2,2
RL,9,2006,2006,370.0,1249,1249,3,9,0,2006.0,3,840,12.7444443677961,7.86172707782398,9.696401880595555,3,3,2,3,3
RL,8,2004,2004,388.0,1136,1136,2,10,1,2004.0,3,872,12.777052192115912,7.811163385025279,9.400878083541478,3,3,3,3,3
RL,7,1986,1987,172.0,1502,1553,2,8,1,1987.0,2,576,12.614865543731012,7.912056888179006,9.24763615671988,3,1,3,1,3
RM,3,1955,2005,0.0,1162,1163,1,6,0,1955.0,1,220,11.745425111208464,7.0587581525186645,8.669055540725484,2,1,2,1,2
RL,7,1967,2007,300.0,710,1898,2,11,1,1961.0,2,564,12.396693005138824,7.999007213243955,9.330343164370879,3,1,3,2,3
RM,5,1941,1950,0.0,720,803,1,5,0,1941.0,2,360,11.37366339763672,6.688354713946762,8.517193191416238,2,1,2,1,2
RL,8,1993,1993,0.0,1719,1719,1,6,2,1993.0,2,473,12.688498794774466,7.449498005382849,9.291551627401006,3,2,3,2,3
RL,6,1960,1960,175.0,1383,1383,1,7,0,1960.0,1,292,11.886211674714158,7.232010331664759,9.358760377094455,3,1,2,1,2
RL,6,1916,1994,0.0,844,1445,2,10,0,1930.0,2,441,12.27606501735021,7.665753431861699,9.38328476695754,3,1,2,1,3
RM,5,1920,1950,0.0,596,596,1,6,0,1920.0,1,189,11.26446410567173,7.083387847625295,8.764365720529808,2,1,2,1,2
RL,5,1964,1964,84.0,1728,1728,2,10,0,2002.0,1,352,11.686878772093667,7.454719949364001,9.270870871716214,3,1,2,1,2
RL,5,1958,1992,0.0,1056,1056,1,6,0,1958.0,1,308,11.842229212112828,6.962243464266207,9.008958312443486,3,1,2,1,2
RL,8,2003,2004,296.0,3206,1629,2,7,1,2003.0,3,880,12.556729517143344,7.395721608602045,9.273784544532717,3,3,3,2,3
RM,7,2004,2004,146.0,1358,1358,2,6,1,2004.0,2,484,12.240474072247506,7.213768308118642,9.011645501064283,2,3,3,2,3
RL,6,1998,1998,0.0,943,943,2,7,2,1998.0,2,472,12.165250651009918,7.401231264413015,9.109635667854551,3,2,2,2,2
RL,5,1965,1965,0.0,1499,1619,2,7,2,1965.0,2,529,12.341258918085241,7.487733761436444,12.011638020852416,3,2,2,1,2
RL,9,2005,2006,200.0,1922,1922,2,8,1,2005.0,3,676,12.841129801965447,7.561121589530238,9.557964480394498,3,3,3,3,3
RL,7,2002,2003,113.0,1536,1536,2,7,0,2002.0,2,532,12.273731294003989,7.336936913707618,9.119868468812108,3,2,3,2,3
RL,7,1984,1998,0.0,1208,1621,2,8,0,1984.0,2,440,12.218495165528731,7.390798521735676,9.557116483735667,3,2,3,2,3
RL,6,1958,1998,176.0,1215,1215,1,6,0,1958.0,1,297,11.951180395901384,7.102499355774649,9.425451751593128,3,1,2,1,2
RL,8,2002,2002,0.0,967,993,2,9,0,2002.0,2,431,12.220468525813907,7.553810852008231,9.560363239834537,3,2,3,2,3
RH,4,1950,1950,0.0,721,841,1,4,0,1950.0,1,294,11.314474526246391,6.734591659972948,9.035986984831405,2,1,1,1,2
RL,3,1949,1950,340.0,0,1040,2,6,0,1949.0,2,400,11.379394072345706,6.946975992135418,9.052984561199976,3,1,2,1,2
RL,9,2005,2005,616.0,1684,1684,2,6,1,2005.0,2,564,12.491251587763836,7.428927194802272,9.08805973726735,3,3,4,3,4
RM,5,1976,1976,0.0,536,536,1,4,0,1976.0,1,336,11.350406535472453,7.013915474810528,7.860185057472165,2,1,2,2,2
RL,6,1939,1950,0.0,972,972,1,6,1,1939.0,1,312,11.850825253582627,7.3632795869630385,8.769507120030227,3,1,2,1,1
RL,6,1960,1998,0.0,958,958,1,5,0,1960.0,1,301,11.928340903931561,6.86484777797086,9.455010553834672,3,1,2,1,2
RL,6,1960,1960,30.0,1478,1478,2,6,2,1960.0,2,498,11.967180737247824,7.298445101508147,9.775654181026242,3,1,2,1,2
RL,7,2003,2004,106.0,764,764,2,6,0,2003.0,2,474,11.944707881395766,7.3938782901077555,7.803026643632217,3,3,3,2,3
RL,9,2005,2006,870.0,1848,1848,2,10,2,2006.0,3,706,12.988040814744458,7.911324018963353,9.924808634239811,3,3,4,3,4
RL,9,2007,2007,362.0,1869,1869,2,6,1,2007.0,2,617,12.669998467265833,7.533158807455563,8.964439833539357,3,3,4,3,4
RL,7,1986,1986,0.0,1453,1453,1,6,1,1986.0,2,445,12.154779351142624,7.2813856635702825,8.569975376855206,3,2,2,2,3
RL,5,1941,1950,0.0,616,616,1,5,0,1941.0,1,200,11.461632170582678,7.01301578963963,9.114269903225448,3,1,2,1,2
RM,6,1928,2003,0.0,624,720,1,5,0,2005.0,2,484,11.570250531589497,6.579251212010101,9.050171619823361,2,1,2,1,2
RL,6,1940,2000,0.0,940,1192,1,6,2,1940.0,1,240,11.84939770159144,7.374629015218945,9.035986984831405,3,1,2,1,2
RL,6,1995,1995,0.0,1200,1200,2,6,0,1995.0,2,521,12.086725887897607,7.090076835776092,9.328034514792826,3,2,3,2,3
RL,6,1992,1992,106.0,1158,1167,2,6,0,1992.0,2,400,12.061046873479915,7.062191632286556,9.13216259091216,3,2,2,2,3
RM,5,1976,1976,0.0,1142,1142,1,6,1,1976.0,2,528,11.805595078933049,7.040536390215956,8.348537825386098,2,1,2,2,2
RL,5,1958,1958,120.0,1062,1352,1,6,0,1958.0,1,288,11.77528972943772,7.20934025660291,8.84361509218395,3,2,2,1,3
RL,8,1998,1998,530.0,1086,1086,2,7,1,1998.0,2,592,12.542544882151386,7.562161631225652,9.39357817555449,3,3,3,2,3
RL,6,1978,1978,0.0,888,912,1,5,1,1978.0,2,470,11.957611286231675,6.815639990074331,8.927977461002001,3,1,2,2,2
RL,5,1940,1982,0.0,883,988,1,8,0,1940.0,1,240,11.884489021402711,7.316548177182976,9.120853205474647,3,1,2,1,2
RL,7,2003,2003,500.0,0,495,3,7,1,2003.0,2,672,12.198544379109382,7.561121589530238,8.895766604056085,3,1,3,1,3
RM,6,1972,2007,510.0,483,483,1,5,0,1972.0,1,264,11.678439903447801,6.894670039433482,7.426549072397305,2,1,2,1,3
RL,6,1976,1976,120.0,796,790,2,6,1,1976.0,2,566,12.154779351142624,7.3613754289773485,9.84161214881804,3,2,2,2,2
RM,5,1920,1997,0.0,672,672,1,6,0,1964.0,1,468,11.898187865760873,7.203405521083095,9.27706400401909,2,1,2,1,2
RL,6,1963,1963,247.0,1394,1394,1,6,2,1963.0,2,514,11.976659481202368,7.2399325913204695,9.159047077588632,3,1,2,2,2
RL,6,1962,1962,305.0,1099,1431,1,6,1,1962.0,1,296,12.013700752882718,7.266128779556451,9.121509158269568,3,1,2,2,2
RL,5,1954,1954,200.0,1268,1268,1,7,1,1954.0,1,244,11.790557201568507,7.145196134997171,8.961879012677683,3,1,2,1,2
RL,5,1959,2006,0.0,1063,1287,1,7,1,1997.0,2,576,11.99535161421452,7.160069207596127,9.193194213141211,3,1,2,1,3
RL,6,2000,2000,0.0,953,953,2,7,1,2000.0,2,460,12.05757263721173,7.416979621381154,9.002208578282412,3,2,2,2,2
RL,4,1959,1959,0.0,0,1120,2,7,1,1991.0,2,680,11.808813773969108,7.370230641807081,9.748002649695733,3,2,2,1,2
RL,6,1984,1984,0.0,744,752,1,4,0,1984.0,1,264,11.736069016284437,6.62273632394984,8.878358040627822,3,1,2,2,2
RL,5,1953,1953,0.0,608,1319,1,5,0,1953.0,1,270,11.719939634354555,7.1846291527173145,9.271811694064283,3,1,2,1,2
RL,7,2003,2004,0.0,847,847,2,8,1,2003.0,2,434,12.299107511497363,7.564238475170491,9.011889433252344,3,2,3,2,3
RL,1,1922,1950,0.0,683,904,0,4,0,1978.5061638868744,0,0,11.018629143155449,6.806829360392176,9.212338374638856,3,1,1,1,1
RL,5,1996,1996,0.0,870,914,1,5,0,1998.0,2,576,11.904967552746252,6.81783057145415,9.087720658428273,3,2,3,2,2
FV,8,2004,2005,0.0,1580,1580,3,8,1,2004.0,2,610,12.736700896592344,7.81035268372429,9.318566777047053,3,2,3,2,3
RL,9,2010,2010,350.0,1856,1856,1,8,1,2010.0,3,834,12.885202034321916,7.526178913346146,9.34084218004034,3,3,3,3,4
RL,6,2000,2000,16.0,982,1007,2,7,1,2000.0,2,463,12.095141084822892,7.495541943884256,9.002454823050954,3,2,2,2,2
RL,5,1924,1950,0.0,1026,1026,2,6,1,1924.0,1,308,11.751942365440728,7.43307534889858,8.517193191416238,3,1,2,1,3
FV,7,2006,2006,0.0,1293,1301,2,5,1,2006.0,2,572,12.142866569626381,7.170888478512505,8.881836305004146,3,2,3,2,3
RL,7,2006,2006,0.0,939,939,2,8,0,2006.0,2,639,12.271392111650817,7.493873886783559,9.131838143821225,3,2,3,2,3
RH,6,1928,1950,0.0,784,784,1,5,0,1950.0,2,360,11.238488619268468,6.664409020350408,9.104979856318357,2,1,2,1,2
RL,6,1992,1992,0.0,1580,1079,2,9,2,1992.0,2,501,12.388394202324129,7.577121930876679,10.880064025283644,3,2,3,2,3
RL,8,2004,2005,16.0,1256,1269,2,6,1,2004.0,2,430,12.165250651009918,7.1459844677143876,8.065265208897733,3,2,3,2,3
RL,5,1910,1996,0.0,658,658,1,8,0,1978.5061638868744,0,0,11.302204433654575,7.076653815443951,9.037176752966994,3,1,2,1,2
RL,6,1976,1976,255.0,1041,1125,1,6,1,1977.0,1,352,11.736069016284437,7.025538314638521,8.881836305004146,3,1,2,1,2
RL,7,1999,2000,125.0,1468,1479,2,6,0,1999.0,2,577,12.160028707028767,7.2991214627108,9.146548238888403,3,2,3,2,3
RL,10,2007,2008,272.0,1682,1742,2,9,1,2008.0,3,846,12.962194625251508,7.754481547470383,9.431401757086068,3,3,4,3,4
RL,5,1900,1950,0.0,861,961,1,7,0,1978.0,1,384,11.686878772093667,7.220373836723949,9.036582045842716,3,1,2,1,2
RL,6,2001,2002,0.0,804,804,2,7,1,2001.0,2,560,12.2783933071098,7.581209826196346,9.409928663668856,3,1,2,3,3
RL,5,1959,1959,0.0,0,882,1,5,0,1959.0,1,294,11.575900264131617,6.782192056006791,9.028698584086985,3,1,2,1,2
RL,4,1941,1950,0.0,788,788,1,4,2,1978.5061638868744,0,0,11.512925464970229,6.669498089857879,8.915432254432663,3,1,2,1,2
RL,5,1940,1950,0.0,735,735,1,5,0,1940.0,1,240,11.59910316121128,6.9411900550683745,9.223651386035854,3,1,2,1,2
